Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,,Intel,Xeon E5-2680 v2,619,54.2,36,https://cpu.userbenchmark.com/SpeedTest/17083/IntelR-XeonR-CPU-E5-2680-v2---280GHz
CPU,,AMD,Athlon II X4 651,620,54.2,845,https://cpu.userbenchmark.com/SpeedTest/3526/AMD-Athlontm-II-X4-651-Quad-Core-Processor
CPU,BX80684G4900,Intel,Celeron G4900,621,54.1,1458,https://cpu.userbenchmark.com/SpeedTest/482751/IntelR-CeleronR-G4900-CPU---310GHz
CPU,,Intel,Xeon E5506,622,54.1,579,https://cpu.userbenchmark.com/SpeedTest/11152/IntelR-XeonR-CPU-----------E5506----213GHz
CPU,AW8063801032301,Intel,Core i5-3210M,623,54,65499,https://cpu.userbenchmark.com/Intel-Core-i5-3210M/Rating/2719
CPU,,AMD,Phenom II X4 920,624,53.9,924,https://cpu.userbenchmark.com/SpeedTest/1945/AMD-Phenomtm-II-X4-920-Processor
CPU,,Intel,Pentium G3250,625,53.8,8514,https://cpu.userbenchmark.com/SpeedTest/18077/IntelR-PentiumR-CPU-G3250---320GHz
CPU,,Intel,Xeon E5450,626,53.8,9707,https://cpu.userbenchmark.com/SpeedTest/5890/IntelR-XeonR-CPU-----------E5450----300GHz
CPU,,Intel,Core i7 Q 740,627,53.8,10026,https://cpu.userbenchmark.com/SpeedTest/415/IntelR-CoreTM-i7-CPU-------Q-740----173GHz
CPU,,Intel,Core i5-2540M,628,53.7,14546,https://cpu.userbenchmark.com/SpeedTest/1616/IntelR-CoreTM-i5-2540M-CPU---260GHz
CPU,,AMD,A8-5600K APU,629,53.6,12782,https://cpu.userbenchmark.com/SpeedTest/1766/AMD-A8-5600K-APU-with-Radeontm-HD-Graphics
CPU,,Intel,Core i5-2435M,630,53.6,443,https://cpu.userbenchmark.com/SpeedTest/968/IntelR-CoreTM-i5-2435M-CPU---240GHz
CPU,,AMD,A8-6500 APU,631,53.6,5642,https://cpu.userbenchmark.com/SpeedTest/5272/AMD-A8-6500-APU-with-Radeontm-HD-Graphics
CPU,,Intel,Core i7-6650U,632,53.5,4611,https://cpu.userbenchmark.com/SpeedTest/40238/IntelR-CoreTM-i7-6650U-CPU---220GHz
CPU,,Intel,Core i7-3537U,633,53.5,12558,https://cpu.userbenchmark.com/SpeedTest/504/IntelR-CoreTM-i7-3537U-CPU---200GHz
CPU,,AMD,Phenom II X4 810,634,53.3,1878,https://cpu.userbenchmark.com/SpeedTest/4242/AMD-Phenomtm-II-X4-810-Processor
CPU,BX80646G1830,Intel,Celeron G1830,635,53.3,156,https://cpu.userbenchmark.com/Intel-Celeron-G1830/Rating/2848
CPU,,Intel,Core i5-6300U,636,53.3,41758,https://cpu.userbenchmark.com/SpeedTest/27864/IntelR-CoreTM-i5-6300U-CPU---240GHz
CPU,,Intel,Pentium G870,637,53.3,1281,https://cpu.userbenchmark.com/SpeedTest/9348/IntelR-PentiumR-CPU-G870---310GHz
CPU,,Intel,Xeon X5450,638,53.2,4738,https://cpu.userbenchmark.com/SpeedTest/5169/IntelR-XeonR-CPU-----------X5450----300GHz
CPU,,Intel,Core i5-2450M,639,53.2,39086,https://cpu.userbenchmark.com/Intel-Core-i5-2450M/Rating/2815
CPU,BX80646G1850,Intel,Celeron G1850,640,53.1,295,https://cpu.userbenchmark.com/Intel-Celeron-G1850/Rating/2850
CPU,,Intel,Core i5-4310U,641,53.1,10775,https://cpu.userbenchmark.com/SpeedTest/12941/IntelR-CoreTM-i5-4310U-CPU---200GHz
CPU,,Intel,Core2 Quad Q9550,642,53.1,29007,https://cpu.userbenchmark.com/SpeedTest/334/IntelR-CoreTM2-Quad-CPU----Q9550----283GHz
CPU,,Intel,Core i5-6200U,643,53.1,115573,https://cpu.userbenchmark.com/SpeedTest/36796/IntelR-CoreTM-i5-6200U-CPU---230GHz
CPU,,AMD,Ryzen 7 3700U,644,53.1,13076,https://cpu.userbenchmark.com/SpeedTest/765724/AMD-Ryzen-7-3700U-with-Radeon-Vega-Mobile-Gfx
CPU,,Intel,Core i5-2520M,645,53,40462,https://cpu.userbenchmark.com/SpeedTest/29/IntelR-CoreTM-i5-2520M-CPU---250GHz
CPU,BX80646G3240 ,Intel,Pentium G3240,646,53,8277,https://cpu.userbenchmark.com/Intel-Pentium-G3240/Rating/2820
CPU,,Intel,Core i7 Q 720,647,53,14863,https://cpu.userbenchmark.com/SpeedTest/140/IntelR-CoreTM-i7-CPU-------Q-720----160GHz
CPU,,Intel,Core i3-7100U,648,53,31546,https://cpu.userbenchmark.com/SpeedTest/176913/IntelR-CoreTM-i3-7100U-CPU---240GHz
CPU,,Intel,Pentium G860,649,53,3159,https://cpu.userbenchmark.com/SpeedTest/2650/IntelR-PentiumR-CPU-G860---300GHz
CPU,,Intel,Core i7 Q 820,650,52.9,1796,https://cpu.userbenchmark.com/SpeedTest/3571/IntelR-CoreTM-i7-CPU-------Q-820----173GHz
CPU,,Intel,Pentium G840,651,52.9,2189,https://cpu.userbenchmark.com/SpeedTest/3067/IntelR-PentiumR-CPU-G840---280GHz
CPU,AD789KXDJCHBX,AMD,A10-7890K APU (2014 D.Ka),652,52.8,5375,https://cpu.userbenchmark.com/SpeedTest/118648/AMD-A10-7890K-Radeon-R7-12-Compute-Cores-4C-8G
CPU,,Intel,Core i3-3120M,653,52.6,11847,https://cpu.userbenchmark.com/SpeedTest/923/IntelR-CoreTM-i3-3120M-CPU---250GHz
CPU,,Intel,Core i3-4000M,654,52.6,5941,https://cpu.userbenchmark.com/SpeedTest/6476/IntelR-CoreTM-i3-4000M-CPU---240GHz
CPU,,AMD,Ryzen 7 2700U,655,52.6,6736,https://cpu.userbenchmark.com/SpeedTest/432558/AMD-Ryzen-7-2700U-with-Radeon-Vega-Mobile-Gfx
CPU,,AMD,Ryzen 5 2500U,656,52.5,51695,https://cpu.userbenchmark.com/SpeedTest/378273/AMD-Ryzen-5-2500U-with-Radeon-Vega-Mobile-Gfx
CPU,,Intel,Pentium G850,657,52.5,2256,https://cpu.userbenchmark.com/SpeedTest/2522/IntelR-PentiumR-CPU-G850---290GHz
CPU,,AMD,Ryzen 3 2300U,658,52.5,2805,https://cpu.userbenchmark.com/SpeedTest/511816/AMD-Ryzen-3-2300U-with-Radeon-Vega-Mobile-Gfx
CPU,,Intel,Core i5-2430M,659,52.4,30630,https://cpu.userbenchmark.com/SpeedTest/429/IntelR-CoreTM-i5-2430M-CPU---240GHz
CPU,AD5700OKHJBOX,AMD,A10-5700 APU (2012 D.Tr),660,52.4,5094,https://cpu.userbenchmark.com/AMD-A10-5700-APU-2012-DTr/Rating/2939
CPU,,Intel,Xeon E5504,661,52.4,399,https://cpu.userbenchmark.com/SpeedTest/6261/IntelR-XeonR-CPU-----------E5504----200GHz
CPU,,AMD,A8-7670K APU (2014 D.Ka),662,52.4,1488,https://cpu.userbenchmark.com/SpeedTest/37178/AMD-A8-7670K-Radeon-R7-10-Compute-Cores-4C-6G
CPU,,Intel,Core i7-4650U,663,52.4,3659,https://cpu.userbenchmark.com/SpeedTest/6364/IntelR-CoreTM-i7-4650U-CPU---170GHz
CPU,,Intel,Core i5-4210U,664,52.4,64991,https://cpu.userbenchmark.com/SpeedTest/12662/IntelR-CoreTM-i5-4210U-CPU---170GHz
CPU,,Intel,Core i3-6100U,665,52.4,20703,https://cpu.userbenchmark.com/SpeedTest/37381/IntelR-CoreTM-i3-6100U-CPU---230GHz
CPU,,Intel,Core i5-2410M,666,52.3,37570,https://cpu.userbenchmark.com/Intel-Core-i5-2410M/Rating/2769
CPU,AD787KXDJCBOX,AMD,A10-7870K APU (2014 D.Ka),667,52.2,9039,https://cpu.userbenchmark.com/SpeedTest/29728/AMD-A10-7870K-Radeon-R7-12-Compute-Cores-4C-8G
CPU,,AMD,Athlon II X4 645,668,52.2,4363,https://cpu.userbenchmark.com/SpeedTest/2408/AMD-Athlontm-II-X4-645-Processor
CPU,BX80646G3220,Intel,Pentium G3220,669,52.1,14724,https://cpu.userbenchmark.com/Intel-Pentium-G3220/Rating/1967
CPU,,Intel,Core i7-3517U,670,52.1,7550,https://cpu.userbenchmark.com/SpeedTest/663/IntelR-CoreTM-i7-3517U-CPU---190GHz
CPU,,Intel,Core2 Quad Q9450,671,52.1,4643,https://cpu.userbenchmark.com/SpeedTest/765/IntelR-CoreTM2-Quad--CPU---Q9450----266GHz
CPU,,AMD,Athlon II X4 641,672,52,885,https://cpu.userbenchmark.com/SpeedTest/1698/AMD-Athlontm-II-X4-641-Quad-Core-Processor
CPU,BX80677G3930,Intel,Celeron G3930,673,52,5505,https://cpu.userbenchmark.com/SpeedTest/235058/IntelR-CeleronR-CPU-G3930---290GHz
CPU,,Intel,Pentium G2030,674,52,14272,https://cpu.userbenchmark.com/SpeedTest/3273/IntelR-PentiumR-CPU-G2030---300GHz
CPU,AD880KXBJCSBX,AMD,Athlon X4 880K,675,52,7573,https://cpu.userbenchmark.com/SpeedTest/121029/AMD-Athlontm-X4-880K-Quad-Core-Processor
CPU,,Intel,Core i5-4250U,676,52,1427,https://cpu.userbenchmark.com/SpeedTest/1787/IntelR-CoreTM-i5-4250U-CPU---130GHz
CPU,,Intel,Core i5-5200U,677,51.9,97731,https://cpu.userbenchmark.com/SpeedTest/22169/IntelR-CoreTM-i5-5200U-CPU---220GHz
CPU,BX80662G3900,Intel,Celeron G3900,678,51.9,5294,https://cpu.userbenchmark.com/SpeedTest/86156/IntelR-CeleronR-CPU-G3900---280GHz
CPU,AD785KXBJABOX,AMD,A10-7850K APU (2014 D.Ka),679,51.9,16706,https://cpu.userbenchmark.com/AMD-A10-7850K-APU-2014-DKa/Rating/2937
CPU,AD860KXBJASBX,AMD,Athlon II X4 860K,680,51.8,20838,https://cpu.userbenchmark.com/AMD-Athlon-II-X4-860K/Rating/3265
CPU,AD870KXBJCSBX,AMD,Athlon II X4 870K,681,51.8,1477,https://cpu.userbenchmark.com/SpeedTest/83847/AMD-Athlontm-X4-870K-Quad-Core-Processor
CPU,,AMD,Phenom II X4 840,682,51.8,5298,https://cpu.userbenchmark.com/SpeedTest/3302/AMD-Phenomtm-II-X4-840-Processor
CPU,,Intel,Pentium G645,683,51.8,3971,https://cpu.userbenchmark.com/SpeedTest/3264/IntelR-PentiumR-CPU-G645---290GHz
CPU,,AMD,Athlon II X4 740K,684,51.8,3638,https://cpu.userbenchmark.com/SpeedTest/4559/AMD-Athlontm-X4-740-Quad-Core-Processor
CPU,,Intel,Core i5 680,685,51.8,619,https://cpu.userbenchmark.com/SpeedTest/3693/IntelR-CoreTM-i5-CPU---------680----360GHz
CPU,,Intel,Xeon E5440,686,51.8,2945,https://cpu.userbenchmark.com/SpeedTest/18165/IntelR-XeonR-CPU-----------E5440----283GHz
CPU,,Intel,Core i5-4300U,687,51.7,29473,https://cpu.userbenchmark.com/SpeedTest/4996/IntelR-CoreTM-i5-4300U-CPU---190GHz
CPU,,Intel,Core i7-3667U,688,51.6,2766,https://cpu.userbenchmark.com/SpeedTest/2815/IntelR-CoreTM-i7-3667U-CPU---200GHz
CPU,,Intel,Core i7-2637M,689,51.6,516,https://cpu.userbenchmark.com/SpeedTest/5436/IntelR-CoreTM-i7-2637M-CPU---170GHz
CPU,,AMD,A8-3870 APU,690,51.5,5005,https://cpu.userbenchmark.com/SpeedTest/3870/AMD-A8-3870-APU-with-Radeontm-HD-Graphics
CPU,,Intel,Core i5-5300U,691,51.4,20273,https://cpu.userbenchmark.com/SpeedTest/16790/IntelR-CoreTM-i5-5300U-CPU---230GHz
